comparison,measure,n,r,mae,rmse,bias,max_abs,nan_mismatch
Shekhar metacognitive bias,Phi-Diff,120,0.9999141980167645,0.0005599892351783608,0.0009214877274232902,5.5173716061048796e-05,0.0033731800080577523,0
Shekhar metacognitive bias,ΔConf-Diff,120,0.9999374843908948,0.001854190064504002,0.003052382713925542,0.0001497837774255606,0.011398889012652624,0
Shekhar metacognitive bias,meta-noise,118,0.9887280862009816,0.030377557833593326,0.06501161203827391,0.004147092219270297,0.3090169943749477,1
Shekhar metacognitive bias,meta-uncertainty,120,0.9999156913349966,0.0042997608507879224,0.01305423375241637,0.0013765905582076986,0.09477705748738963,0
Shekhar metacognitive bias,d',120,1.0,1.1287267417022424e-16,2.4026348078675366e-16,-9.806970050855549e-17,8.881784197001252e-16,0
Shekhar metacognitive bias,Criterion,120,1.0,8.858654550654895e-17,1.4112875507211373e-16,3.2612801348363975e-17,5.551115123125783e-16,0
Shekhar metacognitive bias,Confidence,120,0.9999987042860292,0.0014331997809870138,0.002014477207607492,-0.0014331997809870138,0.00525210084033656,0
Locke response bias,meta-d',70,0.9999999960544175,3.160450444767226e-05,4.697933723488217e-05,2.6291208183542295e-06,0.0001719057130507018,0
Locke response bias,AUC2,70,0.9999999999999999,0.0,0.0,0.0,0.0,0
Locke response bias,Gamma,70,0.9999999999999999,0.0,0.0,0.0,0.0,0
Locke response bias,Phi,70,1.0,0.0,0.0,0.0,0.0,0
Locke response bias,ΔConf,70,1.0,0.0,0.0,0.0,0.0,0
Locke response bias,M-Ratio,70,0.9999999922428465,3.0332799224590108e-05,4.462902306807385e-05,1.7855322002531439e-06,0.00013598014835258798,0
Locke response bias,AUC2-Ratio,70,1.0,1.0943626957019401e-16,1.7045242408169924e-16,2.061842760018148e-17,5.551115123125783e-16,0
Locke response bias,Gamma-Ratio,70,1.0,4.042401334304811e-16,6.400332396389059e-16,3.984907641958151e-17,3.1086244689504383e-15,0
Locke response bias,Phi-Ratio,70,1.0,4.900841637273906e-16,7.398380197778567e-16,3.9650822308041306e-17,3.1086244689504383e-15,0
